INT	INT	INT	STRING
72	3	71	#YCách ð£t lÕi m§t kh¦u c¤p cao?#r#r#WBß¾c 1:H® th¯ng s¨ yêu c¥u bÕn ði«n tài khoän và email ðång ký.#rBß¾c 2:Sau khi gØi thành công, chúng tôi s¨ gØi email xác nh§n ð£t lÕi m§t kh¦u c¤p cao ðªn email ðång ký cüa bÕn.#rBß¾c 3:Hãy làm theo hß¾ng dçn trong email, nh¤n liên kªt thay ð±i m§t kh¦u c¤p cao và thiªt l§p lÕi m§t kh¦u c¤p cao trong vòng ba ngày.#rBß¾c 4:Sau khi gØi thành công, vi®c ð£t lÕi m§t kh¦u c¤p cao hoàn t¤t và m§t kh¦u m¾i s¨ có hi®u lñc ngay.#r#r#YLßu ý:Nªu không nh§n ðßþc email ho£c ðã quá th¶i hÕn ba ngày, bÕn có th¬ yêu c¥u gØi lÕi email; mµt s¯ ð¸a chï email có th¬ không nh§n ðßþc thß xác nh§n, khuyªn ngh¸ sØ døng email Sohu ho£c email trä phí làm email ðång ký.
73	2	6	#YCách thay ð±i email ðång ký (thü công)
74	3	73	#YCách thay ð±i email ðång ký (thü công)?#r#r#W###Email ðång kýthay ð±iyêu c¥u####rBß¾c 1:Ði«n ð¥y ðü nµi dung bi¬u mçu##rBß¾c 2:GØi bi¬u mçu cùng bän sao gi¤y t¶ hþp l®, rõ ràng (CMND, hµ chiªu, chÑng minh quân nhân) ðªn trung tâm h² trþ khách hàng##rBß¾c 3:Nhân viên s¨ ki¬m tra thông tin liên quan sau khi nh§n bi¬u mçu##rBß¾c 4:Sau khi xác minh thông tin chính xác(Bäo v® m§t kh¦uthông tinthông tin###yêu c¥u########),##ngß¶i dùng##Email ðång ký##thao tác,##Email ðång ký######rSohu s¨ ki¬m tra thông tin ngß¶i ðång ký trong vòng 48 gi¶ sau khi nh§n bi¬u mçu và có th¬ g÷i ði®n ð¬ xác nh§n tính chính xác cüa thông tin##r#r#YLßu ý:#r1.#có th¬#gØi##48gi¶#ðång nh§p#Email ðång ký###,##nh§nemail##thành công#######r2.##có th¬#gØi##48gi¶###trung tâm h² trþ khách hàng###Email ðång ký######r3.##khuyªn ngh¸##SOHUemail##Email ðång ký##r#rTh¶i gian xØ lý h° s½: hÕn tiªp nh§n h° s½ trong ngày là 16:00. H° s½ nh§n sau 16:00 s¨ ðßþc chuy¬n sang ngày làm vi®c tiªp theo xØ lý.
75	2	6	#YCách thay ð±i thông tin bäo m§t (thü công)
76	3	75	#YCách thay ð±i thông tin bäo m§t (thü công)#r#r#WTäi #Ð½n yêu c¥u thay ð±i thông tin bäo m§t##rBß¾c 1:Ði«n ð¥y ðü nµi dung bi¬u mçu##rBß¾c 2:###############(###,##,###)gØi#trung tâm h² trþ khách hàng##rBß¾c 3:Nhân viên s¨ ki¬m tra thông tin liên quan sau khi nh§n bi¬u mçu##rBß¾c 4:Sau khi xác minh thông tin chính xác(Bäo v® m§t kh¦uthông tinthông tin###yêu c¥u#email#######),#ngß¶i dùng######thông tin m§t bäothao tác,##ngß¶i dùngemail####,####M§t kh¦u c¤p cao#######,#ngß¶i ch½inh§n######,#####tài khoän######ði«n##Bäo v® m§t kh¦uthông tin,ði«n######,tài khoän##an toànthông tin###ði«n#Bäo v® m§t kh¦uthông tin###Sohu s¨ ki¬m tra thông tin ngß¶i ðång ký trong vòng 48 gi¶ sau khi nh§n bi¬u mçu và có th¬ g÷i ði®n ð¬ xác nh§n tính chính xác cüa thông tin##r#rNgß¶i ch½i phäi ðáp Ñng các ði«u ki®n sau m¾i có th¬ yêu c¥u d¸ch vø hüy liên kªt thü công:#r1,ngß¶i ch½iyêu c¥uBäo v® m§t kh¦uthông tinthay ð±i,###Bäo v® m§t kh¦uthông tin####,####bän sao gi¤y t¶ cüa ngß¶i ðång ký#thông tin m§t bäo#thông tin#####có th¬yêu c¥uBäo v® m§t kh¦uthông tinthay ð±i##r2,ngß¶i ch½iyêu c¥uBäo v® m§t kh¦uthông tinthay ð±i,Bäo v® m§t kh¦u##v¤n ð«####,##########Bäo v® m§t kh¦uthông tinthông tin##,###Bäo v® m§t kh¦uthông tin#######có th¬yêu c¥uBäo v® m§t kh¦uthông tinthay ð±i##r(Hai trß¶ng hþp trên khá ð£c bi®t và quy trình xØ lý cûng ð£c bi®t###########,#gØi##thông tin##########,ngß¶i ðång ký phäi yêu c¥u tÕm khóa tài khoän trong 15 ngày,nªu trong 15 ngày không có ngß¶i ch½i khác yêu c¥u d¸ch vø liên quan ðªn tài khoän, h° s½ s¨ ðßþc xØ lý sau 15 ngày#nªu trong 15 ngày có ngß¶i ch½i khác cûng yêu c¥u thay ð±i liên quan ðªn cùng tài khoän, tài khoän s¨ phát sinh tranh ch¤p và phäi xØ lý theo quy trình tranh ch¤p#)#r#r#YLßu ý:#r1.M²i tài khoän chï ðßþc thay ð±i thông tin bäo m§t t¯i ða ba l¥n m²i nåm (nåm dß½ng l¸ch); quá ba l¥n s¨ không ðßþc tiªp nh§n.#r2.Sau khi thiªt l§p thông tin bäo v® m§t kh¦u, ngß¶i dùng không th¬ tñ sØa ho£c xem lÕi. Khuyªn ngh¸ ði«n thông tin trung thñc và bäo quän c¦n th§n. M÷i tranh ch¤p tài khoän do khai báo sai ho£c ð¬ lµ thông tin cá nhân s¨ do thành viên tñ ch¸u trách nhi®m.#r3.##khuyªn ngh¸##SOHUemail##Email ðång ký##r#rTh¶i gian xØ lý h° s½: hÕn tiªp nh§n h° s½ trong ngày là 16:00. H° s½ nh§n sau 16:00 s¨ ðßþc chuy¬n sang ngày làm vi®c tiªp theo xØ lý.
77	2	6	#YCách hüy liên kªt (thü công)
78	3	77	#Y##hüyliên kªt(thë m§t bäo,IP,Liên kªt ði®n thoÕi)(thü công)#r#r#WVui lòng täi #Ð½n yêu c¥u hüy liên kªt##rBß¾c 1:Ði«n ð¥y ðü nµi dung bi¬u mçu##rBß¾c 2:###############(###,##,###)gØi#trung tâm h² trþ khách hàng##rBß¾c 3:Nhân viên s¨ ki¬m tra thông tin liên quan sau khi nh§n bi¬u mçu##rBß¾c 4:Sau khi xác minh thông tin chính xác(m§t bäothông tin##thông tin###yêu c¥u########),##ngß¶i dùng##hüyliên kªtthao tác##r#r#YSohu s¨ ki¬m tra thông tin ngß¶i ðång ký trong vòng 48 gi¶ sau khi nh§n bi¬u mçu và có th¬ g÷i ði®n ð¬ xác nh§n tính chính xác cüa thông tin##r#rNgß¶i ch½i phäi ðáp Ñng các ði«u ki®n sau m¾i có th¬ yêu c¥u d¸ch vø hüy liên kªt thü công:#r1.Bäo v® m§t kh¦uthông tinthông tin###yêu c¥u##########r2.Quên câu trä l¶i m§t bäo, không th¬ tñ hüy liên kªt##r#rLßu ý:BÕn có th¬ ðång nh§p game 48 gi¶ sau khi gØi bi¬u mçu ð¬ ki¬m tra trÕng thái tài khoän ðã ðßþc hüy liên kªt hay chßa(thë m§t bäo,IP,Liên kªt ði®n thoÕi)Th¶i gian xØ lý h° s½: hÕn tiªp nh§n h° s½ trong ngày là 16:00. H° s½ nh§n sau 16:00 s¨ ðßþc chuy¬n sang ngày làm vi®c tiªp theo xØ lý.
79	2	6	#YCách thay ð±i m§t kh¦u c¤p cao qua email
80	3	79	#YEmail ðång kýkhông th¬thành công##h® th¯ng##,##thay ð±iM§t kh¦u c¤p cao###?(####)#r#r#W###M§t kh¦u c¤p caothay ð±iyêu c¥u###rBß¾c 1:Ði«n ð¥y ðü nµi dung bi¬u mçu##rBß¾c 2:##tài khoänEmail ðång ký,###gØi###email(email#####)##rBß¾c 3:Nhân viên s¨ ki¬m tra thông tin liên quan sau khi nh§n bi¬u mçu##rBß¾c 4:Sau khi xác minh thông tin chính xác,##ngß¶i dùng##thay ð±iM§t kh¦u c¤p caothao tác##r#r#YSohu s¨ ki¬m tra thông tin ngß¶i ðång ký trong vòng 48 gi¶ sau khi nh§n bi¬u mçu và có th¬ g÷i ði®n ð¬ xác nh§n tính chính xác cüa thông tin##r#rNgß¶i ch½i phäi ðáp Ñng các ði«u ki®n sau m¾i có th¬ yêu c¥u:#r#Y1.Email ðång ký#####an toànemail##r2.######l¤y lÕiM§t kh¦u c¤p caochÑc nång,####h® th¯ng#######r3.Bäo v® m§t kh¦uthông tin##ði«n##r4.#######Email ðång ký,#ði«n#####gØi###gametrung tâm h² trþ khách hàng#email#(email#####),##yêu c¥uthay ð±i##r#rLßu ý:#r1.#có th¬#gØi##48gi¶#ðång nh§p####an toànemail####nh§nh® th¯nggØi#M§t kh¦u c¤p cao##r2.Sau khi xác nh§n ðã nh§n ðßþc, hãy nhanh chóng ði«n thông tin bäo m§t ð¬ bäo ðäm an toàn tài khoän#
81	2	1	#YKiªn thÑc liên quan ðªn an toàn tài khoän
82	2	1	#YLiên kªt tài khoän v¾i thë m§t bäo
84	2	1	#YLiên kªt tài khoän v¾i ði®n thoÕi
85	3	81	#YKiªn thÑc liên quan ðªn an toàn tài khoän#r#r#YTài khoän và m§t kh¦u ðång nh§p:#WTài khoän và m§t kh¦u ðång nh§p là thông tin dùng ð¬ xác thñc khi ngß¶i dùng ðång nh§p game. Nªu ngß¶i khác biªt tài khoän và m§t kh¦u ðång nh§p, h÷ có th¬ dùng tài khoän cüa bÕn ð¬ vào game. Vì v§y không ðßþc cung c¤p tài khoän và m§t kh¦u cho ngß¶i khác.#r#YM§t kh¦u c¤p cao:#WM§t kh¦u c¤p cao##l¤y lÕim§t kh¦u#####,###yêu c¥um§t bäo#########nªu####M§t kh¦u ðång nh§p#tài khoän b¸ ðánh c¡p#,#có th¬##M§t kh¦u c¤p cao##l¤y lÕiðång nh§pm§t kh¦u#nªu######,khuyªn ngh¸#l¤y lÕim§t kh¦u#,##thay ð±im§t kh¦u##r#Ym§t kh¦u c¤p 2:#WM§t kh¦u c¤p 2 có th¬ bäo v® các v§t ph¦m äo trong game. BÕn có th¬ khóa toàn bµ trang b¸, v§t ph¦m, trân thú trên ngß¶i cùng ti«n và v§t ph¦m trong kho. Sau khi khóa, các v§t ph¦m này không th¬ b¸ hüy ho£c giao d¸ch; chï khi nh§p ðúng m§t kh¦u c¤p 2 m¾i có th¬ m· khóa. Nh¶ v§y, ngay cä khi tài khoän b¸ ðánh c¡p, m§t kh¦u c¤p 2 vçn có th¬ bäo v® v§t ph¦m trong game.#r#rTrên ðây là nhæng kiªn thÑc c½ bän nh¤t v« an toàn tài khoän. Ngoài ra, Thiên Long Bát Bµ còn cung c¤p các bi®n pháp bäo v® tài khoän an toàn h½n.######YLiên kªt tài khoän v¾i thë m§t bäo,Liên kªt tài khoän v¾i ði®n thoÕi#W#Chï c¥n ch÷n mµt trong các bi®n pháp bäo v® này, tài khoän cüa bÕn s¨ ðßþc bäo v® mÕnh m¨ h½n.
86	3	82	#YLiên kªt tài khoän v¾i thë m§t bäo#r#r#WThë bäo v® m§t kh¦u là d¸ch vø bäo v® an toàn tài khoän dành cho t¤t cä ngß¶i ch½i Thiên Long Bát Bµ.#rLiên kªt tài khoän v¾i thë m§t bäo##,nªungß¶i ch½i##tài khoän#m§t kh¦u##,##thë m§t bäo####,##thành công##game,#tài khoänc¥n##phút######l¥nðång nh§p,############rThë bäo v® m§t kh¦u ðßþc t£ng mi­n phí kèm thë Sohu Yika Tong 200, 600 và 2000 ði¬m.Ngoài chÑc nång nÕp ði¬m cüa thë Sohu Yika Tong, m£t sau còn có ma tr§n s¯ 7*7 phü l¾p bäo v®. M²i ô trong ma tr§n có mµt s¯ g°m hai chæ s¯. Nh¶ ðó,Bäo v® m§t kh¦u##########m§t kh¦u#,#####tài khoän#an toàn##r###gamethë ði¬m###,###,##########Bäo v® m§t kh¦uchÑc nång###thë ði¬m(200,600##2000#)###Bäo v® m§t kh¦uchÑc nång#Bäo v® m§t kh¦u############khuyªn ngh¸############Bäo v® m§t kh¦uchÑc nång##mi­n phí##rBÕn cûng có th¬ vào trang web chính thÑc Thiên Long Bát Bµ ð¬ täi mi­n phí thë m§t bäo và liên kªt thë. Ð¸a chï:http://account.changyou.com
88	3	84	#YLiên kªt tài khoän v¾i ði®n thoÕi#r#r#W#có th¬###tài khoän###Liên kªt ði®n thoÕi####liên kªt##,###tài khoän b¸ ðánh c¡p###########,#có th¬gØi#####tài khoän#######,######ðång nh§p##tài khoän,######tài khoän############tài khoän#########tác døng##r#có th¬##ngày####chính thÑctrang web,##Liên kªt tài khoän v¾i ði®n thoÕi######:http://account.changyou.com
89	2	1	#YLiên kªt tài khoän v¾i IP
90	3	89	#YLiên kªt tài khoän v¾i IP#r#r#WM÷i máy tính có th¬ truy c§p Internet ð«u có mµt ð¸a chï IP riêng, gi¯ng nhß s¯ chÑng minh nhân dân cüa máy tính, ðµc l§p và duy nh¤t. Sau khi liên kªt IP, tài khoän game cüa bÕn chï có th¬ ðång nh§p t× ð¸a chï IP ðã chï ð¸nh. Vì v§y, ngay cä khi tài khoän g£p sñ c¯, kë trµm tài khoän cûng không th¬ ðång nh§p nªu không · däi IP ðßþc chï ð¸nh. Lßu ý: ngß¶i ch½i sØ døng chÑc nång máy chü proxy game s¨ không ðßþc bäo v® b·i liên kªt IP. Liên kªt IP mi­n phí; chï c¥n ðång nh§p http://account.changyou.com và ði«n ð¸a chï IP c¥n liên kªt là có th¬ sØ døng d¸ch vø này.
91	2	3	#YLiên kªt tài khoän v¾i IP
92	3	91	#YLiên kªt tài khoän v¾i IP#r#r#WM÷i máy tính có th¬ truy c§p Internet ð«u có mµt ð¸a chï IP riêng, gi¯ng nhß s¯ chÑng minh nhân dân cüa máy tính, ðµc l§p và duy nh¤t. Sau khi liên kªt IP, tài khoän game cüa bÕn chï có th¬ ðång nh§p t× ð¸a chï IP ðã chï ð¸nh. Vì v§y, ngay cä khi tài khoän g£p sñ c¯, kë trµm tài khoän cûng không th¬ ðång nh§p nªu không · däi IP ðßþc chï ð¸nh. Lßu ý: ngß¶i ch½i sØ døng chÑc nång máy chü proxy game s¨ không ðßþc bäo v® b·i liên kªt IP. Liên kªt IP mi­n phí; chï c¥n ðång nh§p http://account.changyou.com và ði«n ð¸a chï IP c¥n liên kªt là có th¬ sØ døng d¸ch vø này.
