INT	INT	INT	INT	INT	INT	INT	INT	STRING
10157049	1	2	59	299	58	299	1	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157050	1	2	61	299	60	299	2	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157051	1	2	62	372	-1	0	3	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157052	1	2	63	124	-1	0	4	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157053	1	2	37	4	-1	0	5	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157054	1	3	0	1876	-1	0	0	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157055	1	3	59	299	58	299	1	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157056	1	3	61	299	60	299	2	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157057	1	3	62	372	-1	0	3	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157058	1	3	63	124	-1	0	4	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157059	1	3	37	4	-1	0	5	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157060	1	4	0	1876	-1	0	0	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157061	1	4	59	299	58	299	1	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157062	1	4	61	299	60	299	2	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157063	1	4	62	372	-1	0	3	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157064	1	4	63	124	-1	0	4	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157065	1	4	37	4	-1	0	5	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157066	1	5	0	1876	-1	0	0	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157067	1	5	59	299	58	299	1	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157068	1	5	61	299	60	299	2	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157069	1	5	62	372	-1	0	3	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157070	1	5	63	124	-1	0	4	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157071	1	5	37	4	-1	0	5	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157072	2	0	0	2795	-1	0	0	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157073	2	0	59	446	58	446	1	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157074	2	0	61	446	60	446	2	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157075	2	0	62	554	-1	0	3	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157076	2	0	63	185	-1	0	4	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157077	2	0	37	7	-1	0	5	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157078	2	1	0	2795	-1	0	0	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157079	2	1	59	446	58	446	1	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157080	2	1	61	446	60	446	2	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157081	2	1	62	554	-1	0	3	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157082	2	1	63	185	-1	0	4	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157083	2	1	37	7	-1	0	5	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157084	2	2	0	2795	-1	0	0	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157085	2	2	59	446	58	446	1	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157086	2	2	61	446	60	446	2	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157087	2	2	62	554	-1	0	3	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157088	2	2	63	185	-1	0	4	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157089	2	2	37	7	-1	0	5	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157090	2	3	0	2795	-1	0	0	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157091	2	3	59	446	58	446	1	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157092	2	3	61	446	60	446	2	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157093	2	3	62	554	-1	0	3	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157094	2	3	63	185	-1	0	4	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157095	2	3	37	7	-1	0	5	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157096	2	4	0	2795	-1	0	0	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157097	2	4	59	446	58	446	1	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157098	2	4	61	446	60	446	2	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157099	2	4	62	554	-1	0	3	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157100	2	4	63	185	-1	0	4	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157101	2	4	37	7	-1	0	5	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
